state, lat, lon
 "South Carolina", 35.10251787, -80.94004777
 "Maryland", 38.95094838, -76.73951626
 "Tennessee", 36.1087675, -86.81697567
 "New York", 43.20236699, -77.49490731
 "New York", 40.70824014, -73.86832197
 "New Hampshire", 43.04113579, -71.43838406
 "New York", 43.09195783, -75.31471252
 "New York", 41.09765847, -73.95721436
 "Delaware", 39.44688904, -75.74105285
 "Florida", 26.03662019, -80.16284452
 "Massachusetts", 42.09616961, -70.65212818
 "Massachusetts", 42.09639014, -70.65211014
 "Florida", 25.767578, -80.193652
 "Pennsylvania", 40.09286363, -75.39777366
 "Massachusetts", 42.34061334, -71.59349798
 "New York", 43.14283167, -77.71363735
 "New York", 40.73405166, -73.99073727
 "New Jersey", 40.78531821, -74.04664993
 "Florida", 27.2758, -80.355
 "Pennsylvania", 39.9415281, -76.69355035
 "Florida", 27.94282486, -82.32401133
 "Indiana", 39.7111, -86.3602
 "Kentucky", 36.7629, -83.6994
 "New York", 40.8583643, -73.93104908
 "New York", 40.820195, -73.920218
 "Massachusetts", 42.3561185, -71.0552516
 "New York", 41.32983, -73.822037
 "Michigan", 42.24623, -84.74752
 "New York", 40.68940001, -73.86238384
 "Alabama", 33.61125, -85.82756
 "Pennsylvania", 40.40656857, -79.91766214
 "Virginia", 38.91774586, -77.21980512
 "New York", 40.7565708, -73.9885711
 "Pennsylvania", 40.44561294, -79.99653726
 "Kentucky", 36.7629, -83.6994
 "Massachusetts", 42.3948212, -71.07991079
 "Virginia", 37.56735471, -77.46676683
 "Massachusetts", 42.35266394, -71.06256761
 "Massachusetts", 42.35331001, -71.06297961
 "New Jersey", 39.73278, -75.13074
 "Florida", 27.2758, -80.355
 "Illinois", 39.611189, -87.691757
 "New York", 40.72865688, -73.90983863
 "Georgia", 34.048161, -84.296921
 "Maryland", 39.37066372, -76.46461308
 "Georgia", 33.7489, -84.3881
 "Florida", 30.2543103, -81.3893009
 "Florida", 28.55767, -81.36414
 "Florida", 28.55767, -81.36414
 "Georgia", 33.92189, -84.3146
 "New York", 40.76442, -73.96904
 "New Jersey", 40.89957925, -74.70444253
 "District of Columbia", 38.8991, -77.029
 "Georgia", 34.070116, -84.252005
 "Indiana", 39.76690667, -86.15650321
 "Kentucky", 36.7629, -83.6994
 "Kentucky", 37.73574, -84.31804
 "Rhode Island", 41.72513487, -71.47661458
 "Michigan", 42.24623, -84.74752
 "New York", 40.73405166, -73.99073727
 "Pennsylvania", 40.14017152, -74.9541378
 "Maine", 43.6728, -70.3759199
 "Florida", 25.98348716, -80.38138764
 "Kentucky", 36.7629, -83.6994
 "Pennsylvania", 39.97436537, -75.24844603
 "Illinois", 42.07062441, -88.14768791
 "Tennessee", 35.036556, -85.307687
 "New York", 40.73003, -74.0030699
 "North Carolina", 34.15767884, -77.91105
 "Michigan", 42.257353, -83.657804
 "New Jersey", 40.78821837, -74.04263413
 "New Jersey", 40.78843, -74.04195
 "Michigan", 42.49171367, -83.47033155
 "New Jersey", 40.78843, -74.04195
 "Tennessee", 35.89985901, -84.15583961
 "South Carolina", 34.945037, -82.00069129
 "Massachusetts", 42.162608, -71.061019
 "Georgia", 33.94277, -83.7393699
 "New York", 40.7207559, -74.0007613
 "New York", 41.62594471, -73.92186418
 "New York", 40.6638688, -73.55305465
 "Massachusetts", 42.55257447, -70.94090939
 "New Jersey", 40.16939669, -74.20144558
 "Florida", 28.66647518, -81.38063158
 "Michigan", 42.9456451, -85.6655212
 "Florida", 28.37144918, -81.51759267
 "Wisconsin", 44.0159041, -88.58069837
 "Tennessee", 36.59135, -82.26106
 "Pennsylvania", 39.95989, -75.25811
 "Florida", 28.37016651, -81.52044524
 "Pennsylvania", 40.42775365, -79.9650964
 "Illinois", 41.89115759, -87.61915224
 "Ohio", 41.30183583, -84.36391697
 "Massachusetts", 41.66675973, -70.29628269
 "Maryland", 38.99667131, -77.02544421
 "Georgia", 33.72785079, -84.74436574
 "Virginia", 38.28899437, -77.50992179
 "New York", 42.69880667, -78.01700592
 "Indiana", 41.1311638, -85.14229371
 "New York", 40.7142, -74.0064
 "North Carolina", 35.80773778, -78.81904885
 "Massachusetts", 42.49732007, -71.16091472
 "Florida", 28.37016651, -81.52044524
 "Tennessee", 35.8474974, -87.3983568
 "Ohio", 39.82572833, -84.20058044
 "Florida", 28.37001555, -81.52068638
 "Wisconsin", 43.0056671, -88.84832382
 "Illinois", 41.93342014, -87.6455462
 "Florida", 26.84976549, -80.09436607
 "North Carolina", 35.84844769, -78.88928937
 "Georgia", 33.85279848, -84.3626386
 "Florida", 28.36990714, -81.5202662
 "Florida", 28.37001555, -81.52068638
 "North Carolina", 35.78357, -80.86108
 "Ohio", 39.24416013, -84.59880748
 "Ohio", 39.24416013, -84.59880748
 "Maryland", 38.98899311, -76.90798031
 "North Carolina", 35.80743392, -78.81939177
 "North Carolina", 35.80773778, -78.81904885
 "Virginia", 37.25372192, -77.39479043
 "North Carolina", 33.97703, -78.392517
 "New Jersey", 40.65573278, -74.30612361
 "Michigan", 43.65678, -84.23295
 "Florida", 26.37677021, -80.11264825
 "New York", 40.966304, -73.856172
 "New York", 40.8289, -73.6867
 "Georgia", 34.07087435, -84.27662754
 "Pennsylvania", 40.14017152, -74.9541378
 "Pennsylvania", 40.98439888, -76.01115815
 "Pennsylvania", 40.26840227, -75.65786297
 "North Carolina", 35.75815424, -78.73481176
 "Ohio", 39.64274314, -84.22805786
 "Illinois", 41.83981736, -88.00265551
 "Tennessee", 35.137768, -89.991127
 "Tennessee", 35.84349185, -86.43854165
 "Florida", 28.37001555, -81.52068638
 "Pennsylvania", 40.99025949, -75.2233528
 "Florida", 28.54087403, -81.37867749
 "Florida", 30.32693446, -81.55468941
 "Florida", 30.18534764, -81.73650026
 "Illinois", 41.7100186, -88.2059286
 "Georgia", 33.99128524, -84.27466867
 "Ohio", 41.46105115, -81.95240873
 "New York", 40.78679465, -73.97763963
 "Florida", 28.55594022, -81.20062092
 "Mississippi", 31.33087546, -89.34966087
 "Illinois", 41.92463998, -88.2701683
 "Wisconsin", 42.9495062, -88.10660997
 "Virginia", 38.9587839, -77.35841013
 "Illinois", 42.38128265, -88.0687131
 "Indiana", 39.98977, -85.9334499
 "Pennsylvania", 40.92212031, -79.9472049
 "Illinois", 42.029785, -88.336814
